submission_id,F1,F1_NPforms,F2,F2_matchness,List,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
946,,part,,-match,2,NA,27,,Higher degree,250385,1741960106304,1741959855919,female,803,English ,57,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,13435,0
946,,sum,,random,2,NA,27,,Higher degree,250385,1741960106304,1741959855919,female,802,English ,35,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4014,1
946,,part,,+match,2,NA,27,,Higher degree,250385,1741960106304,1741959855919,female,801,English ,99,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,7064,2
946,,-filler,,first,2,99,27,,Higher degree,250385,1741960106304,1741959855919,female,904,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5786,0
946,,part,,random,2,35,27,,Higher degree,250385,1741960106304,1741959855919,female,7,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,3600,1
946,,sum,,-match,2,99,27,,Higher degree,250385,1741960106304,1741959855919,female,90,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,3400,2
946,,sum,,+match,2,97,27,,Higher degree,250385,1741960106304,1741959855919,female,136,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4696,3
946,,+filler,,second,2,26,27,,Higher degree,250385,1741960106304,1741959855919,female,905,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5800,4
946,,part,,-match,2,21,27,,Higher degree,250385,1741960106304,1741959855919,female,131,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4002,5
946,,sum,,-match,2,39,27,,Higher degree,250385,1741960106304,1741959855919,female,54,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,7399,6
946,,part,,+match,2,45,27,,Higher degree,250385,1741960106304,1741959855919,female,105,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,18281,7
946,,sum,,+match,2,34,27,,Higher degree,250385,1741960106304,1741959855919,female,28,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,4834,8
946,,part,,-match,2,99,27,,Higher degree,250385,1741960106304,1741959855919,female,23,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,6999,9
946,,sum,,+match,2,99,27,,Higher degree,250385,1741960106304,1741959855919,female,64,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,3582,10
946,,sum,,random,2,31,27,,Higher degree,250385,1741960106304,1741959855919,female,110,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,3746,11
946,,+filler,,second,2,33,27,,Higher degree,250385,1741960106304,1741959855919,female,903,English ,NA,6658b476f525efdb502d6fa6,67d43237f6b0899d61d04810,67d43004a94ffa0ad9a61a9f,5421,12
